Date (yy/mm/dd),Time (hh/mm/ss),Time(ms),Ambient temp (oC),Liquid temp (oC),A-X1,A-Y1,A-Z1,G-X,G-Y,G-Z,Mass(g)
1/10/2001,5:29:02,658987,63,66.75,-0.0332,-1.0102,0.0332,-5.39,-2.94,-3.92,30.4
1/10/2001,5:29:02,659098,62.5,64.25,-0.001,-0.9789,-0.0059,3.85,-3.78,-4.48,46.2
1/10/2001,5:29:02,659209,61,62,-0.0615,-1.0028,0.0015,5.88,11.83,-3.22,78.4
1/10/2001,5:29:02,659319,60.25,60.75,-0.0664,-0.9467,0.1918,6.86,99.12,-9.17,87.8
1/10/2001,5:29:02,659431,59.25,59.25,-0.2855,-0.9638,-0.1674,5.88,139.37,-3.43,47
1/10/2001,5:29:02,659542,58.5,58.25,0.0415,-1.0687,-0.0054,10.99,149.17,-11.76,28.1
1/10/2001,5:29:03,659653,57.5,57.5,0.427,-0.853,0.0556,2.03,100.94,-3.92,5.9
1/10/2001,5:29:03,659764,57,56.75,-0.1196,-0.8847,0.244,8.26,61.88,-2.59,32.9
1/10/2001,5:29:03,659874,56.5,56,0.0376,-1.018,0.0795,8.47,9.66,-0.42,27.4
1/10/2001,5:29:03,659986,55.75,55.25,-0.001,-0.9799,-0.0117,2.8,-4.13,-3.29,-7.5
1/10/2001,5:29:03,660097,55.25,55,-0.0054,-0.9643,0.0029,4.69,-4.27,-4.06,-11.9
1/10/2001,5:29:03,660207,54.5,54.25,0.0102,-0.975,0.001,4.2,-3.99,-3.99,4.2
1/10/2001,5:29:03,660318,54.25,54,-0.102,-0.9916,-0.1035,1.4,18.97,-4.27,5.4
1/10/2001,5:29:03,660429,53.75,53.25,0.1508,-0.9516,-0.0185,-0.91,8.96,-3.5,5.6
1/10/2001,5:29:03,660540,53.5,53.25,-0.0015,-0.9921,0.0952,3.64,28.56,-4.34,0.3
1/10/2001,5:29:04,660651,53,52.75,-0.1127,-1.0219,-0.039,3.15,26.6,-1.68,15.2
1/10/2001,5:29:04,660762,53,52.5,-0.1357,-0.7598,0.0615,5.32,25.9,-4.69,20.3
1/10/2001,5:29:04,660873,52.5,52.25,0.0054,-0.9775,0.02,3.22,-2.17,-3.64,26
1/10/2001,5:29:04,660983,52.25,51.75,0.0078,-1.016,0.0127,11.41,-3.36,-7.21,27.6
1/10/2001,5:29:04,661095,52.25,51.75,-0.0205,-1.0097,0.0142,1.33,-2.73,-0.42,13.7
1/10/2001,5:29:04,661206,51.75,51.25,-0.0044,-0.9765,-0.0127,3.99,-3.99,-3.78,5.7
1/10/2001,5:29:04,661316,51.75,51.5,0.0029,-0.9833,-0.0049,4.06,-3.78,-4.13,10.2
1/10/2001,5:29:04,661428,51.25,51,0.0093,-0.9911,-0.0107,3.85,-4.06,-4.27,11.1
1/10/2001,5:29:04,661538,51.5,51,0.0083,-0.995,-0.0068,4.13,-4.06,-4.13,10.6
1/10/2001,5:29:05,661649,51,50.5,0.0181,-0.9843,-0.002,3.92,-4.06,-4.2,10.6
1/10/2001,5:29:05,661761,51,50.5,0.0205,-0.9862,-0.0073,4.62,-4.13,-4.62,8.7
1/10/2001,5:29:05,661871,50.75,50.25,0.0078,-0.9404,-0.0015,4.62,-3.85,-4.41,7.8
1/10/2001,5:29:05,661982,50.75,50.25,0.0166,-1.0028,0.0078,2.38,-4.06,-2.03,8.2
1/10/2001,5:29:05,662093,50.5,50,0.0171,-0.954,-0.0088,4.34,-3.92,-4.97,40.4
1/10/2001,5:29:05,662204,50.25,50,0.0063,-0.9887,-0.0054,4.06,-4.34,-4.34,38
1/10/2001,5:29:05,662315,50.5,50,0.0098,-0.9828,-0.0015,4.27,-4.2,-3.99,39.9
1/10/2001,5:29:05,662426,50,49.75,0.0112,-0.974,-0.002,4.2,-4.2,-3.99,36.5
1/10/2001,5:29:05,662537,50.25,49.75,0.0078,-0.9784,0.001,4.27,-4.2,-4.2,26.9
1/10/2001,5:29:06,662647,49.75,49.5,0.0107,-0.9784,0.0063,4.34,-4.2,-3.85,27.6
1/10/2001,5:29:06,662758,50,49.5,0.0146,-0.9862,-0.0093,3.78,-3.99,-4.48,34.1
1/10/2001,5:29:06,662870,49.5,49.25,0.0102,-0.978,-0.001,4.48,-4.27,-4.13,63.8
1/10/2001,5:29:06,662980,49.75,49.5,0.0102,-0.9765,-0.0039,4.27,-3.99,-4.06,90.7
1/10/2001,5:29:06,663091,49.5,49.25,0.0127,-0.9789,-0.0005,4.2,-3.99,-4.2,105.2
1/10/2001,5:29:06,663202,49.75,49.25,0.0078,-0.9882,-0.0024,4.27,-4.13,-4.06,125.9
